vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt
VTS,2009-01-04 02:52:00,2009-01-04 03:02:00,1,2.6299999999999999,-73.991956999999999,40.721567,,,-73.993803,40.695922000000003,CASH,8.9000000000000004,0.5,,0,0,9.4000000000000004
VTS,2009-01-04 03:31:00,2009-01-04 03:38:00,3,4.5499999999999998,-73.982101999999998,40.736289999999997,,,-73.955849999999998,40.768030000000003,Credit,12.1,0.5,,2,0,14.6
VTS,2009-01-03 15:43:00,2009-01-03 15:57:00,5,10.35,-74.002587000000005,40.739747999999999,,,-73.869983000000005,40.770225000000003,Credit,23.699999999999999,0,,4.7400000000000002,0,28.440000000000001
DDS,2009-01-01 20:52:58,2009-01-01 21:14:00,1,5,-73.974266999999998,40.790954999999997,,,-73.996557999999993,40.731848999999997,CREDIT,14.9,0.5,,3.0499999999999998,0,18.449999999999999
DDS,2009-01-24 16:18:23,2009-01-24 16:24:56,1,0.40000000000000002,-74.001580000000004,40.719382000000003,,,-74.008377999999993,40.720350000000003,CASH,3.7000000000000002,0,,0,0,3.7000000000000002
DDS,2009-01-16 22:35:59,2009-01-16 22:43:35,2,1.2,-73.989806000000002,40.735005999999998,,,-73.985021000000003,40.724494,CASH,6.0999999999999996,0.5,,0,0,6.5999999999999996
DDS,2009-01-21 08:55:57,2009-01-21 09:05:42,1,0.40000000000000002,-73.984049999999996,40.743544,,,-73.980260000000001,40.748925999999997,CREDIT,5.7000000000000002,0,,1,0,6.7000000000000002
VTS,2009-01-04 04:31:00,2009-01-04 04:36:00,1,1.72,-73.992635000000007,40.748362,,,-73.995585000000005,40.728307000000001,CASH,6.0999999999999996,0.5,,0,0,6.5999999999999996
CMT,2009-01-05 16:29:02,2009-01-05 16:40:21,1,1.6000000000000001,-73.96969,40.749243999999997,,,-73.990413000000004,40.751081999999997,Credit,8.6999999999999993,0,,1.3,0,10
CMT,2009-01-05 18:53:13,2009-01-05 18:57:45,1,0.69999999999999996,-73.955173000000002,40.783043999999997,,,-73.958597999999995,40.774822,Cash,5.9000000000000004,0,,0,0,5.9000000000000004
CMT,2009-01-05 08:15:38,2009-01-05 08:16:44,1,0.29999999999999999,-73.986823999999999,40.750892999999998,,,-73.984117999999995,40.751437000000003,Cash,2.8999999999999999,0,,0,0,2.8999999999999999
CMT,2009-01-05 06:21:43,2009-01-05 06:28:41,1,2.2999999999999998,-74.006100000000004,40.748432000000001,,,-73.978437,40.762481000000001,Cash,7.7000000000000002,0,,0,0,7.7000000000000002
DDS,2009-01-20 13:44:02,2009-01-20 13:52:43,2,2.1000000000000001,-73.983339000000001,40.744782000000001,,,-73.981160000000003,40.720835000000001,CASH,7.2999999999999998,0,,0,0,7.2999999999999998
CMT,2009-01-05 16:19:53,2009-01-05 16:26:48,2,1.2,-73.973510000000005,40.760280000000002,,,-73.962933000000007,40.775118999999997,Cash,6.7000000000000002,0,,0,0,6.7000000000000002
CMT,2009-01-05 17:22:16,2009-01-05 17:27:25,1,0.80000000000000004,-73.984425999999999,40.757480000000001,,,-73.982518999999996,40.767164999999999,Cash,5.9000000000000004,0,,0,0,5.9000000000000004
CMT,2009-01-05 16:02:52,2009-01-05 16:18:43,1,4.5,-73.991063999999994,40.727654000000001,,,-73.945770999999993,40.777650000000001,Cash,13.9,0,,0,0,13.9
CMT,2009-01-05 12:15:06,2009-01-05 12:27:58,1,1.7,-74.001677999999998,40.747300000000003,,,-73.978956999999994,40.750394,Cash,8.5,0,,0,0,8.5
CMT,2009-01-05 07:49:57,2009-01-05 07:54:11,1,1,-73.982456999999997,40.731475000000003,,,-73.973011,40.743386999999998,Credit,4.5,0,,1,0,5.5
DDS,2009-01-23 23:57:34,2009-01-24 00:12:40,2,5,-73.992553999999998,40.724476000000003,,,-73.953064999999995,40.777555,CREDIT,13.300000000000001,0.5,,3.4500000000000002,0,17.25
CMT,2009-01-05 10:23:13,2009-01-05 10:33:56,1,1.3,-73.990088999999998,40.759027000000003,,,-73.983974000000003,40.746938,Cash,7.2999999999999998,0,,0,0,7.2999999999999998
CMT,2009-01-05 11:01:05,2009-01-05 11:11:19,1,1.6000000000000001,-73.945892999999998,40.773608000000003,,,-73.965765000000005,40.764682999999998,Cash,7.2999999999999998,0,,0,0,7.2999999999999998
DDS,2009-01-20 14:38:38,2009-01-20 14:50:57,1,1.3999999999999999,-73.969386999999998,40.749158999999999,,,-73.976872,40.758792,CASH,6.9000000000000004,0,,0,0,6.9000000000000004
CMT,2009-01-05 11:29:40,2009-01-05 11:37:04,1,1.3,-73.952267000000006,40.766204999999999,,,-73.969590999999994,40.762841000000002,Cash,6.5,0,,0,0,6.5
DDS,2009-01-23 00:12:44,2009-01-23 00:23:41,1,2.8999999999999999,-73.977986000000001,40.746056000000003,,,-73.949085999999994,40.781537,CASH,9.3000000000000007,0.5,,0,0,9.8000000000000007
CMT,2009-01-03 01:34:33,2009-01-03 01:35:10,1,0.10000000000000001,-73.956573000000006,40.716945000000003,,,-73.958689000000007,40.714976,Cash,3,0,,0,0,3
CMT,2009-01-03 17:08:30,2009-01-03 17:16:31,1,1,-73.999302999999998,40.754142000000002,,,-73.984849999999994,40.753539000000004,Credit,6.0999999999999996,0,,2,0,8.0999999999999996
CMT,2009-01-05 09:43:32,2009-01-05 10:02:28,1,3,-73.991283999999993,40.761803,,,-73.987076000000002,40.729314000000002,Cash,11.699999999999999,0,,0,0,11.699999999999999
CMT,2009-01-04 01:04:38,2009-01-04 01:09:19,2,1.2,-73.976983000000004,40.747166999999997,,,-73.964459000000005,40.758916999999997,Credit,5.7999999999999998,0,,1,0,6.7999999999999998
CMT,2009-01-05 14:38:59,2009-01-05 14:58:45,2,3.2999999999999998,-74.012822999999997,40.707816000000001,,,-73.990151999999995,40.750329999999998,Cash,12.9,0,,0,0,12.9
CMT,2009-01-05 08:31:55,2009-01-05 08:37:50,1,0.90000000000000002,-73.977936999999997,40.745919000000001,,,-73.983609000000001,40.755051000000002,Credit,5.2999999999999998,0,,0.79000000000000004,0,6.0899999999999999
CMT,2009-01-05 13:07:15,2009-01-05 13:16:27,1,1.1000000000000001,-73.977277999999998,40.758499999999998,,,-73.967039,40.769652999999998,Cash,6.9000000000000004,0,,0,0,6.9000000000000004
CMT,2009-01-03 03:31:36,2009-01-03 03:39:45,1,1.7,-73.988311999999993,40.723244999999999,,,-74.010422000000005,40.713962000000002,Cash,7.4000000000000004,0,,0,0,7.4000000000000004
CMT,2009-01-05 18:53:05,2009-01-05 19:00:27,1,1.3999999999999999,-73.958681999999996,40.783138999999998,,,-73.961332999999996,40.768295000000002,Cash,7.5,0,,0,0,7.5
CMT,2009-01-05 19:39:26,2009-01-05 19:49:41,2,1.8999999999999999,-73.993944999999997,40.746682999999997,,,-73.988737,40.727086,Credit,9.0999999999999996,0,,1.8200000000000001,0,10.92
DDS,2009-01-19 21:26:03,2009-01-19 21:51:42,4,8.6999999999999993,-73.977701999999994,40.786721,,,-73.884155000000007,40.759258000000003,CASH,22.100000000000001,0.5,,0,4.1500000000000004,26.75
DDS,2009-01-22 16:02:20,2009-01-22 16:08:33,2,0.59999999999999998,-73.983836999999994,40.761285000000001,,,-73.973247999999998,40.758684000000002,CASH,4.9000000000000004,1,,0,0,5.9000000000000004
CMT,2009-01-03 02:48:37,2009-01-03 03:01:05,2,5.2000000000000002,-73.951244000000003,40.774886000000002,,,-73.918015999999994,40.774807000000003,Cash,14.199999999999999,0,,0,0,14.199999999999999
CMT,2009-01-03 02:07:08,2009-01-03 02:24:19,1,5.0999999999999996,-73.997249999999994,40.721314999999997,,,-73.983699000000001,40.660420999999999,Cash,15.4,0,,0,0,15.4
DDS,2009-01-18 15:10:51,2009-01-18 15:17:53,2,1.3,-73.956192000000001,40.813521000000001,,,-73.964010000000002,40.799726,CASH,6.0999999999999996,0,,0,0,6.0999999999999996
CMT,2009-01-06 01:30:09,2009-01-06 01:39:48,1,3.7000000000000002,-73.949016,40.785981,,,-73.988427999999999,40.750478999999999,Cash,10.6,0,,0,0,10.6
CMT,2009-01-03 17:05:38,2009-01-03 17:21:38,1,4.5,-73.990611999999999,40.734878000000002,,,-73.940838999999997,40.718452999999997,Cash,13.300000000000001,0,,0,0,13.300000000000001
DDS,2009-01-21 14:38:05,2009-01-21 15:09:51,1,10,-73.997315999999998,40.7361,,,-73.871433999999994,40.773769999999999,CREDIT,26.100000000000001,0,,5.2000000000000002,4.1500000000000004,35.450000000000003
CMT,2009-01-03 02:27:06,2009-01-03 02:33:06,1,1.6000000000000001,-74.000020000000006,40.726688000000003,,,-74.011448999999999,40.707877000000003,Cash,6.5999999999999996,0,,0,0,6.5999999999999996
CMT,2009-01-06 00:23:15,2009-01-06 00:26:49,1,1,-73.991613999999998,40.740965000000003,,,-74.005948000000004,40.736341000000003,Credit,5.4000000000000004,0,,1.6000000000000001,0,7
CMT,2009-01-05 19:04:42,2009-01-05 19:08:23,1,1,-73.993521000000001,40.762265999999997,,,-73.988867999999997,40.774337000000003,Cash,5.5,0,,0,0,5.5
DDS,2009-01-20 14:28:55,2009-01-20 14:54:08,2,9.8000000000000007,-74.001485000000002,40.727884000000003,,,-73.936199000000002,40.843387,CASH,24.5,0,,0,0,24.5
CMT,2009-01-05 22:11:53,2009-01-05 22:18:35,1,1.6000000000000001,-73.983659000000003,40.770336999999998,,,-73.960213999999993,40.770240999999999,Cash,7,0,,0,0,7
CMT,2009-01-06 06:07:41,2009-01-06 06:25:44,1,9.3000000000000007,-73.954312000000002,40.773097999999997,,,-73.864738000000003,40.770322,Cash,21.699999999999999,0,,0,4.1500000000000004,25.850000000000001
CMT,2009-01-06 13:05:14,2009-01-06 13:15:14,1,0.5,-73.965083000000007,40.754973999999997,,,-73.970288999999994,40.759571000000001,Cash,6.5,0,,0,0,6.5
